v_branch[1], 0.0
v_branch[2], 0.0
v_branch[3], 0.0
v_branch[4], 0.0
v_branch[5], 0.0
c_w[1,1], 1.0
c_w[2,1], 0.0
c_w[3,1], 0.0
c_w[4,1], 0.0
c_w[5,1], 0.0
c_w[6,1], 0.0
c_w[1,2], 0.0
c_w[2,2], 1.0
c_w[3,2], 0.0
c_w[4,2], 0.0
c_w[5,2], 0.0
c_w[6,2], 0.0
c_w[1,3], 0.0
c_w[2,3], 0.0
c_w[3,3], 1.0
c_w[4,3], 0.0
c_w[5,3], 0.0
c_w[6,3], 0.0
c_w[1,4], 0.0
c_w[2,4], 0.0
c_w[3,4], 0.0
c_w[4,4], 1.0
c_w[5,4], 0.0
c_w[6,4], 0.0
c_w[1,5], 0.0
c_w[2,5], 0.0
c_w[3,5], 0.0
c_w[4,5], 0.0
c_w[5,5], 1.0
c_w[6,5], 0.0
σ[1], 0.0
σ[2], 0.0
σ[3], 0.0
σ[4], 0.0
σ[5], 0.0
gen[1,1], 1.5
gen[2,1], -1.5
gen[3,1], 1.5
gen[4,1], 3.0
gen[5,1], 1.5
gen[6,1], -3.0
gen[1,2], 1.5
gen[2,2], 0.0
gen[3,2], 0.0
gen[4,2], 0.0
gen[5,2], 0.0
gen[6,2], 0.0
gen[1,3], 0.0
gen[2,3], 3.0
gen[3,3], -1.5
gen[4,3], -3.0
gen[5,3], 0.0
gen[6,3], 0.0
gen[1,4], 0.0
gen[2,4], 0.0
gen[3,4], 0.0
gen[4,4], 0.0
gen[5,4], 0.0
gen[6,4], 0.0
scaledgen[1,1], 0.0
scaledgen[2,1], 0.0
scaledgen[3,1], 0.0
scaledgen[4,1], 0.0
scaledgen[5,1], 0.0
scaledgen[1,2], 0.0
scaledgen[2,2], 0.0
scaledgen[3,2], 0.0
scaledgen[4,2], 0.0
scaledgen[5,2], 0.0
scaledgen[1,3], 0.0
scaledgen[2,3], 0.0
scaledgen[3,3], 0.0
scaledgen[4,3], 0.0
scaledgen[5,3], 0.0
scaledgen[1,4], 0.0
scaledgen[2,4], 0.0
scaledgen[3,4], 0.0
scaledgen[4,4], 0.0
scaledgen[5,4], 0.0
load[1,1], 0.0
load[2,1], 0.0
load[3,1], 0.0
load[4,1], 0.0
load[5,1], 0.0
load[6,1], 0.0
load[1,2], 0.0
load[2,2], 0.0
load[3,2], 1.5
load[4,2], 0.0
load[5,2], 0.0
load[6,2], 1.0
load[1,3], 1.5
load[2,3], 0.0
load[3,3], 0.0
load[4,3], 0.0
load[5,3], 1.5
load[6,3], 1.0
load[1,4], -4.5
load[2,4], -1.5
load[3,4], -1.5
load[4,4], 0.0
load[5,4], -3.0
load[6,4], 1.0
flows[1,1], 0.0
flows[2,1], 1.5
flows[3,1], 0.0
flows[4,1], -1.5
flows[5,1], 0.0
flows[6,1], 1.5
flows[1,2], -1.5
flows[2,2], 0.0
flows[3,2], -1.5
flows[4,2], -1.5
flows[5,2], -1.5
flows[6,2], 1.5
flows[1,3], 0.0
flows[2,3], 1.5
flows[3,3], 0.0
flows[4,3], -1.5
flows[5,3], 1.5
flows[6,3], 0.5
flows[1,4], -1.5
flows[2,4], 0.0
flows[3,4], -1.5
flows[4,4], 0.0
flows[5,4], -1.5
flows[6,4], 0.0
flows[1,5], -1.5
flows[2,5], -1.5
flows[3,5], 1.5
flows[4,5], 1.5
flows[5,5], 0.0
flows[6,5], -0.5
γ_branch[1,1], 0.0
γ_branch[2,1], 0.0
γ_branch[3,1], 0.0
γ_branch[4,1], 0.0
γ_branch[5,1], 0.0
γ_branch[6,1], 0.0
γ_branch[1,2], 0.0
γ_branch[2,2], 0.0
γ_branch[3,2], 0.0
γ_branch[4,2], 0.0
γ_branch[5,2], 0.0
γ_branch[6,2], 0.0
γ_branch[1,3], 0.0
γ_branch[2,3], 0.0
γ_branch[3,3], 0.0
γ_branch[4,3], 0.0
γ_branch[5,3], 0.0
γ_branch[6,3], 0.0
γ_branch[1,4], 0.0
γ_branch[2,4], 0.0
γ_branch[3,4], 0.0
γ_branch[4,4], 0.0
γ_branch[5,4], 0.0
γ_branch[6,4], 0.0
γ_branch[1,5], 0.0
γ_branch[2,5], 0.0
γ_branch[3,5], 0.0
γ_branch[4,5], 0.0
γ_branch[5,5], 0.0
γ_branch[6,5], 0.0
v_bus[1], 0.0
γ_bus[1,1], 0.0
γ_bus[2,1], 0.0
γ_bus[3,1], 0.0
γ_bus[4,1], 0.0
γ_bus[5,1], 0.0
γ_bus[6,1], 0.0
β[1], 0.0
β[2], -1.5
β[3], 3.0
β[4], 0.0
β[5], 3.0
c_flows[6,1], -1.0
c_flows[6,2], 5.0
c_flows[6,3], -4.0
c_flows[6,4], 1.0
c_flows[6,5], -5.0
overload, 1.5
ρ, 1.5
